Ankalaev vs Walker 2,13 Jan 7:00 PM EST (-5:00) Sat,1-day,United States,SonyLiv/Jiotv,
Strickland vs Du Plessis,20 Jan 10:00 PM EST (-5:00) Sat,1-day,Canada,SonyLiv/Jiotv,
Dolidze vs Imavov,3 Feb 7:00 PM EST (-5:00) Sat,1-day,United States,SonyLiv/Jiotv,
Hermansson vs Pyfer,10 Feb 10:00 PM EST (-5:00) Sat,1-day,United States,SonyLiv/Jiotv,
Volkanovski vs Topuria,17 Feb 10:00 PM EST (-5:00) Sat,1-day,United States,SonyLiv/Jiotv,
Moreno vs Albazi,24 Feb 10:00 PM EST (-5:00) Sat,1-day,Mexico,SonyLiv/Jiotv,
TBD vs TBD,2 Mar 2:00 PM EST (-5:00) Sat,1-day,Saudi Arabia,SonyLiv/Jiotv,
O'Malley vs Vera 2,9 Mar 10:00 PM EST (-5:00) Sat,1-day,United States,SonyLiv/Jiotv,
